	#Organism/Name	TaxID	BioProject Accession	BioProject ID	Group	SubGroup	Size (Mb)	GC%	Assembly Accession	Replicons	WGS	Scaffolds	Genes	Proteins	Release Date	Modify Date	Status	Center	BioSample Accession
34013	Arabidopsis thaliana	3702	PRJNA1033522	1033522	Plants	Land Plants	134.343	36.3724	GCA_036937505.1	chromosome 1:CP138026.1; chromosome 2:CP138027.1; chromosome 3:CP138028.1; chromosome 4:CP138029.1; chromosome 5:CP138030.1		5			2024/03/01	2024/03/01	Chromosome	PRJEB62038	SAMN38034138
34033	Arabidopsis thaliana	3702	PRJNA1033522	1033522	Plants	Land Plants	141.635	36.5126	GCA_036937985.1	chromosome 1:CP138041.1; chromosome 2:CP138042.1; chromosome 3:CP138043.1; chromosome 4:CP138044.1; chromosome 5:CP138045.1		5			2024/03/01	2024/03/01	Chromosome	PRJEB62038	SAMN38034141
34036	Arabidopsis thaliana	3702	PRJNA1033522	1033522	Plants	Land Plants	136.723	36.3311	GCA_036936845.1	chromosome 1:CP137956.1; chromosome 2:CP137957.1; chromosome 3:CP137958.1; chromosome 4:CP137959.1; chromosome 5:CP137960.1		5			2024/03/01	2024/03/01	Chromosome	PRJEB62038	SAMN38034124
34053	Arabidopsis thaliana	3702	PRJNA1033522	1033522	Plants	Land Plants	134.537	36.2362	GCA_036940715.1	chromosome 1:CP138106.1; chromosome 2:CP138107.1; chromosome 3:CP138108.1; chromosome 4:CP138109.1; chromosome 5:CP138110.1		5			2024/03/01	2024/03/01	Chromosome	PRJEB62038	SAMN38034154
34055	Arabidopsis thaliana	3702	PRJNA1033522	1033522	Plants	Land Plants	132.047	36.3154	GCA_036938785.1	chromosome 1:CP138051.1; chromosome 2:CP138052.1; chromosome 3:CP138053.1; chromosome 4:CP138054.1; chromosome 5:CP138055.1		5			2024/03/01	2024/03/01	Chromosome	PRJEB62038	SAMN38034143
34074	Arabidopsis thaliana	3702	PRJNA1033522	1033522	Plants	Land Plants	147.577	36.5488	GCA_036940645.1	chromosome 1:CP138101.1; chromosome 2:CP138102.1; chromosome 3:CP138103.1; chromosome 4:CP138104.1; chromosome 5:CP138105.1		5			2024/03/01	2024/03/01	Chromosome	PRJEB62038	SAMN38034153
34076	Arabidopsis thaliana	3702	PRJNA1033522	1033522	Plants	Land Plants	137.01	36.3675	GCA_036937805.1	chromosome 1:CP138036.1; chromosome 2:CP138037.1; chromosome 3:CP138038.1; chromosome 4:CP138039.1; chromosome 5:CP138040.1		5			2024/03/01	2024/03/01	Chromosome	PRJEB62038	SAMN38034140
34096	Arabidopsis thaliana	3702	PRJNA1033522	1033522	Plants	Land Plants	136.024	36.3474	GCA_036937815.1	chromosome 1:CP138046.1; chromosome 2:CP138047.1; chromosome 3:CP138048.1; chromosome 4:CP138049.1; chromosome 5:CP138050.1		5			2024/03/01	2024/03/01	Chromosome	PRJEB62038	SAMN38034142
34098	Arabidopsis thaliana	3702	PRJNA1033522	1033522	Plants	Land Plants	140.183	36.3609	GCA_036941165.1	chromosome 1:CP138121.1; chromosome 2:CP138122.1; chromosome 3:CP138123.1; chromosome 4:CP138124.1; chromosome 5:CP138125.1		5			2024/03/01	2024/03/01	Chromosome	PRJEB62038	SAMN38034157
34116	Arabidopsis thaliana	3702	PRJNA13190	13190	Plants	Land Plants	93.6545	36.0433	GCA_000211275.1	chromosome 1 bottom arm:AE005173.1; chromosome 1 top arm:AE005172.1; chromosome 3:BA000014.8; chromosome 4 long arm:AJ270060.1; chromosome 4 short arm:AJ270058.1; chromosome 5:BA000015.5		6	16842.0	20111.0	2000/12/14	2007/05/19	Chromosome	Arabidopsis Genome Initiative	SAMN03081413
34117	Arabidopsis thaliana	3702	PRJEB23122	549192	Plants	Land Plants	0.195283	37.3	GCA_900234075.1		OCZF01	19			2019/06/17	2019/06/17	Contig	MPI FOR DEVELOPMENTAL BIOLOGY	SAMEA104356393
34135	Arabidopsis thaliana	3702	PRJEB23122	549192	Plants	Land Plants	1.71971	36.7	GCA_900234235.1		OCYH01	133			2019/06/17	2019/06/17	Contig	MPI FOR DEVELOPMENTAL BIOLOGY	SAMEA104356401
34136	Arabidopsis thaliana	3702	PRJEB23122	549192	Plants	Land Plants	1.87192	37.2	GCA_900233735.1		OCWZ01	156			2019/06/17	2019/06/17	Contig	MPI FOR DEVELOPMENTAL BIOLOGY	SAMEA104356344
34155	Arabidopsis thaliana	3702	PRJEB23122	549192	Plants	Land Plants	2.02645	36.8	GCA_900234125.1		OCXO01	164			2019/06/17	2019/06/17	Contig	MPI FOR DEVELOPMENTAL BIOLOGY	SAMEA104356389
34156	Arabidopsis thaliana	3702	PRJEB23122	549192	Plants	Land Plants	2.01361	36.5	GCA_900234305.1		OCYE01	163			2019/06/17	2019/06/17	Contig	MPI FOR DEVELOPMENTAL BIOLOGY	SAMEA104356397
34175	Arabidopsis thaliana	3702	PRJEB23122	549192	Plants	Land Plants	2.68429	37.0	GCA_900233785.1		OCWV01	231			2019/06/17	2019/06/17	Contig	MPI FOR DEVELOPMENTAL BIOLOGY	SAMEA104356346
34176	Arabidopsis thaliana	3702	PRJEB23122	549192	Plants	Land Plants	1.60963	37.1	GCA_900234265.1		OCYD01	141			2019/06/17	2019/06/17	Contig	MPI FOR DEVELOPMENTAL BIOLOGY	SAMEA104356409
34195	Arabidopsis thaliana	3702	PRJEB23122	549192	Plants	Land Plants	2.04223	36.6	GCA_900234185.1		OCYB01	169			2019/06/17	2019/06/17	Contig	MPI FOR DEVELOPMENTAL BIOLOGY	SAMEA104356403
34196	Arabidopsis thaliana	3702	PRJEB23122	549192	Plants	Land Plants	1.84553	36.5	GCA_900233775.1		OCWC01	154			2019/06/17	2019/06/17	Contig	MPI FOR DEVELOPMENTAL BIOLOGY	SAMEA104356356
34215	Arabidopsis thaliana	3702	PRJEB23122	549192	Plants	Land Plants	1.88946	36.9	GCA_900234295.1		OCYF01	171			2019/06/17	2019/06/17	Contig	MPI FOR DEVELOPMENTAL BIOLOGY	SAMEA104356400
34216	Arabidopsis thaliana	3702	PRJEB23122	549192	Plants	Land Plants	1.95856	36.9	GCA_900234275.1		OCYJ01	167			2019/06/17	2019/06/17	Contig	MPI FOR DEVELOPMENTAL BIOLOGY	SAMEA104356411
34235	Arabidopsis thaliana	3702	PRJEB23122	549192	Plants	Land Plants	1.53762	37.1	GCA_900233705.1		OCVZ01	126			2019/06/17	2019/06/17	Contig	MPI FOR DEVELOPMENTAL BIOLOGY	SAMEA104356358
34236	Arabidopsis thaliana	3702	PRJEB23122	549192	Plants	Land Plants	1.4141	37.0	GCA_900234025.1		OCXK01	116			2019/06/17	2019/06/17	Contig	MPI FOR DEVELOPMENTAL BIOLOGY	SAMEA104356391
34254	Arabidopsis thaliana	3702	PRJEB23122	549192	Plants	Land Plants	1.72997	36.9	GCA_900233685.1		OCWA01	149			2019/06/17	2019/06/17	Contig	MPI FOR DEVELOPMENTAL BIOLOGY	SAMEA104356350
34255	Arabidopsis thaliana	3702	PRJEB23122	549192	Plants	Land Plants	2.27092	36.4	GCA_900233725.1		OCWQ01	190			2019/06/17	2019/06/17	Contig	MPI FOR DEVELOPMENTAL BIOLOGY	SAMEA104356368
34272	Arabidopsis thaliana	3702	PRJEB23122	549192	Plants	Land Plants	2.13757	36.9	GCA_900234165.1		OCYN01	189			2019/06/17	2019/06/17	Contig	MPI FOR DEVELOPMENTAL BIOLOGY	SAMEA104356399
34273	Arabidopsis thaliana	3702	PRJEB23122	549192	Plants	Land Plants	1.73315	36.9	GCA_900234135.1		OCXS01	143			2019/06/17	2019/06/17	Contig	MPI FOR DEVELOPMENTAL BIOLOGY	SAMEA104356383
34290	Arabidopsis thaliana	3702	PRJEB23122	549192	Plants	Land Plants	1.78161	36.9	GCA_900233965.1		OCXD01	170			2019/06/17	2019/06/17	Contig	MPI FOR DEVELOPMENTAL BIOLOGY	SAMEA104356347
34291	Arabidopsis thaliana	3702	PRJEB23122	549192	Plants	Land Plants	1.93182	36.6	GCA_900234175.1		OCYM01	173			2019/06/17	2019/06/17	Contig	MPI FOR DEVELOPMENTAL BIOLOGY	SAMEA104356394
34308	Arabidopsis thaliana	3702	PRJEB23122	549192	Plants	Land Plants	1.8648	36.8	GCA_900234115.1		OCXN01	164			2019/06/17	2019/06/17	Contig	MPI FOR DEVELOPMENTAL BIOLOGY	SAMEA104356379
34309	Arabidopsis thaliana	3702	PRJEB23122	549192	Plants	Land Plants	2.27278	36.6	GCA_900233995.1		OCXQ01	199			2019/06/17	2019/06/17	Contig	MPI FOR DEVELOPMENTAL BIOLOGY	SAMEA104356386
34326	Arabidopsis thaliana	3702	PRJEB23122	549192	Plants	Land Plants	1.83575	36.9	GCA_900234145.1		OCXW01	156			2019/06/17	2019/06/17	Contig	MPI FOR DEVELOPMENTAL BIOLOGY	SAMEA104356405
34327	Arabidopsis thaliana	3702	PRJEB23122	549192	Plants	Land Plants	2.15462	36.9	GCA_900234285.1		OCYA01	194			2019/06/17	2019/06/17	Contig	MPI FOR DEVELOPMENTAL BIOLOGY	SAMEA104356396
34344	Arabidopsis thaliana	3702	PRJEB23122	549192	Plants	Land Plants	1.76999	37.1	GCA_900234105.1		OCXU01	156			2019/06/17	2019/06/17	Contig	MPI FOR DEVELOPMENTAL BIOLOGY	SAMEA104356377
34345	Arabidopsis thaliana	3702	PRJEB23122	549192	Plants	Land Plants	1.9492	36.9	GCA_900233755.1		OCWR01	183			2019/06/17	2019/06/17	Contig	MPI FOR DEVELOPMENTAL BIOLOGY	SAMEA104356375
34360	Arabidopsis thaliana	3702	PRJEB23122	549192	Plants	Land Plants	1.75614	36.8	GCA_900233985.1		OCXL01	156			2019/06/17	2019/06/17	Contig	MPI FOR DEVELOPMENTAL BIOLOGY	SAMEA104356381
34361	Arabidopsis thaliana	3702	PRJEB23122	549192	Plants	Land Plants	1.86784	37.0	GCA_900234215.1		OCYC01	173			2019/06/17	2019/06/17	Contig	MPI FOR DEVELOPMENTAL BIOLOGY	SAMEA104356402
34376	Arabidopsis thaliana	3702	PRJEB23122	549192	Plants	Land Plants	1.83401	37.7	GCA_900234205.1		OCYL01	182			2019/06/17	2019/06/17	Contig	MPI FOR DEVELOPMENTAL BIOLOGY	SAMEA104356407
34377	Arabidopsis thaliana	3702	PRJEB23122	549192	Plants	Land Plants	1.56864	37.1	GCA_900234065.1		OCXH01	151			2019/06/17	2019/06/17	Contig	MPI FOR DEVELOPMENTAL BIOLOGY	SAMEA104356384
34393	Arabidopsis thaliana	3702	PRJEB23122	549192	Plants	Land Plants	1.97277	36.7	GCA_900233765.1		OCWY01	169			2019/06/17	2019/06/17	Contig	MPI FOR DEVELOPMENTAL BIOLOGY	SAMEA104356365
34394	Arabidopsis thaliana	3702	PRJEB23122	549192	Plants	Land Plants	1.65792	37.1	GCA_900233795.1		OCXE01	153			2019/06/17	2019/06/17	Contig	MPI FOR DEVELOPMENTAL BIOLOGY	SAMEA104356349
34409	Arabidopsis thaliana	3702	PRJEB23122	549192	Plants	Land Plants	1.86401	37.0	GCA_900233745.1		OCWJ01	172			2019/06/17	2019/06/17	Contig	MPI FOR DEVELOPMENTAL BIOLOGY	SAMEA104356351
34410	Arabidopsis thaliana	3702	PRJEB23122	549192	Plants	Land Plants	1.93139	36.8	GCA_900234155.1		OCXX01	180			2019/06/17	2019/06/17	Contig	MPI FOR DEVELOPMENTAL BIOLOGY	SAMEA104356398
34425	Arabidopsis thaliana	3702	PRJEB23122	549192	Plants	Land Plants	1.62901	37.1	GCA_900234045.1		OCXG01	158			2019/06/17	2019/06/17	Contig	MPI FOR DEVELOPMENTAL BIOLOGY	SAMEA104356378
34426	Arabidopsis thaliana	3702	PRJEB23122	549192	Plants	Land Plants	1.93135	37.2	GCA_900234195.1		OCYG01	176			2019/06/17	2019/06/17	Contig	MPI FOR DEVELOPMENTAL BIOLOGY	SAMEA104356395
34441	Arabidopsis thaliana	3702	PRJEB23122	549192	Plants	Land Plants	1.82675	36.9	GCA_900233665.1		OCWE01	191			2019/06/17	2019/06/17	Contig	MPI FOR DEVELOPMENTAL BIOLOGY	SAMEA104356355
34442	Arabidopsis thaliana	3702	PRJEB23122	549192	Plants	Land Plants	1.72986	36.8	GCA_900233875.1		OCWP01	182			2019/06/17	2019/06/17	Contig	MPI FOR DEVELOPMENTAL BIOLOGY	SAMEA104356353
34457	Arabidopsis thaliana	3702	PRJEB23122	549192	Plants	Land Plants	1.37218	37.1	GCA_900233905.1		OCWL01	132			2019/06/17	2019/06/17	Contig	MPI FOR DEVELOPMENTAL BIOLOGY	SAMEA104356370
34458	Arabidopsis thaliana	3702	PRJEB23122	549192	Plants	Land Plants	1.68821	36.8	GCA_900233635.1		OCVY01	157			2019/06/17	2019/06/17	Contig	MPI FOR DEVELOPMENTAL BIOLOGY	SAMEA104356371
34472	Arabidopsis thaliana	3702	PRJEB23122	549192	Plants	Land Plants	1.65938	36.8	GCA_900233835.1		OCWB01	159			2019/06/17	2019/06/17	Contig	MPI FOR DEVELOPMENTAL BIOLOGY	SAMEA104356376
34475	Arabidopsis thaliana	3702	PRJEB23122	549192	Plants	Land Plants	2.05357	36.9	GCA_900234085.1		OCXM01	194			2019/06/17	2019/06/17	Contig	MPI FOR DEVELOPMENTAL BIOLOGY	SAMEA104356392
34488	Arabidopsis thaliana	3702	PRJEB23122	549192	Plants	Land Plants	1.55025	36.9	GCA_900234325.1		OCYO01	153			2019/06/17	2019/06/17	Contig	MPI FOR DEVELOPMENTAL BIOLOGY	SAMEA104356413
34491	Arabidopsis thaliana	3702	PRJEB23122	549192	Plants	Land Plants	1.34032	37.0	GCA_900233645.1		OCWG01	133			2019/06/17	2019/06/17	Contig	MPI FOR DEVELOPMENTAL BIOLOGY	SAMEA104356363
34504	Arabidopsis thaliana	3702	PRJEB23122	549192	Plants	Land Plants	1.90115	36.9	GCA_900234245.1		OCXY01	200			2019/06/17	2019/06/17	Contig	MPI FOR DEVELOPMENTAL BIOLOGY	SAMEA104356408
34507	Arabidopsis thaliana	3702	PRJEB23122	549192	Plants	Land Plants	1.7997	36.9	GCA_900234095.1		OCXR01	173			2019/06/17	2019/06/17	Contig	MPI FOR DEVELOPMENTAL BIOLOGY	SAMEA104356387
34521	Arabidopsis thaliana	3702	PRJEB23122	549192	Plants	Land Plants	1.33758	37.4	GCA_900233865.1		OCWN01	133			2019/06/17	2019/06/17	Contig	MPI FOR DEVELOPMENTAL BIOLOGY	SAMEA104356364
34524	Arabidopsis thaliana	3702	PRJEB23122	549192	Plants	Land Plants	1.5272	36.7	GCA_900233805.1		OCWS01	146			2019/06/17	2019/06/17	Contig	MPI FOR DEVELOPMENTAL BIOLOGY	SAMEA104356373
34537	Arabidopsis thaliana	3702	PRJEB23122	549192	Plants	Land Plants	2.18075	36.9	GCA_900234035.1		OCXI01	205			2019/06/17	2019/06/17	Contig	MPI FOR DEVELOPMENTAL BIOLOGY	SAMEA104356390
34540	Arabidopsis thaliana	3702	PRJEB23122	549192	Plants	Land Plants	1.60312	37.1	GCA_900234365.1		OCYP01	153			2019/06/17	2019/06/17	Contig	MPI FOR DEVELOPMENTAL BIOLOGY	SAMEA104356412
34552	Arabidopsis thaliana	3702	PRJEB23122	549192	Plants	Land Plants	1.4618	37.3	GCA_900233825.1		OCWH01	147			2019/06/17	2019/06/17	Contig	MPI FOR DEVELOPMENTAL BIOLOGY	SAMEA104356367
34555	Arabidopsis thaliana	3702	PRJEB23122	549192	Plants	Land Plants	1.61604	36.6	GCA_900233855.1		OCXC01	153			2019/06/17	2019/06/17	Contig	MPI FOR DEVELOPMENTAL BIOLOGY	SAMEA104356414
34569	Arabidopsis thaliana	3702	PRJEB23122	549192	Plants	Land Plants	1.80119	37.1	GCA_900233695.1		OCXF01	169			2019/06/17	2019/06/17	Contig	MPI FOR DEVELOPMENTAL BIOLOGY	SAMEA104356348
34572	Arabidopsis thaliana	3702	PRJEB23122	549192	Plants	Land Plants	1.66717	37.0	GCA_900234315.1		OCYK01	179			2019/06/17	2019/06/17	Contig	MPI FOR DEVELOPMENTAL BIOLOGY	SAMEA104356406
34585	Arabidopsis thaliana	3702	PRJEB23122	549192	Plants	Land Plants	1.36257	37.2	GCA_900233915.1		OCXB01	136			2019/06/17	2019/06/17	Contig	MPI FOR DEVELOPMENTAL BIOLOGY	SAMEA104356361
34588	Arabidopsis thaliana	3702	PRJEB23122	549192	Plants	Land Plants	1.76317	37.1	GCA_900234055.1		OCXV01	182			2019/06/17	2019/06/17	Contig	MPI FOR DEVELOPMENTAL BIOLOGY	SAMEA104356382
34601	Arabidopsis thaliana	3702	PRJEB23122	549192	Plants	Land Plants	1.38144	37.3	GCA_900233885.1		OCWT01	140			2019/06/17	2019/06/17	Contig	MPI FOR DEVELOPMENTAL BIOLOGY	SAMEA104356372
34604	Arabidopsis thaliana	3702	PRJEB23122	549192	Plants	Land Plants	1.15189	37.3	GCA_900233655.1		OCWF01	124			2019/06/17	2019/06/17	Contig	MPI FOR DEVELOPMENTAL BIOLOGY	SAMEA104356362
34617	Arabidopsis thaliana	3702	PRJEB23122	549192	Plants	Land Plants	1.33529	37.4	GCA_900234005.1		OCXJ01	137			2019/06/17	2019/06/17	Contig	MPI FOR DEVELOPMENTAL BIOLOGY	SAMEA104356380
34620	Arabidopsis thaliana	3702	PRJEB23122	549192	Plants	Land Plants	1.71934	37.1	GCA_900233815.1		OCWO01	188			2019/06/17	2019/06/17	Contig	MPI FOR DEVELOPMENTAL BIOLOGY	SAMEA104356360
34633	Arabidopsis thaliana	3702	PRJEB23122	549192	Plants	Land Plants	1.11018	37.8	GCA_900234015.1		OCXT01	124			2019/06/17	2019/06/17	Contig	MPI FOR DEVELOPMENTAL BIOLOGY	SAMEA104356385
34636	Arabidopsis thaliana	3702	PRJEB23122	549192	Plants	Land Plants	1.03397	37.6	GCA_900233675.1		OCWK01	120			2019/06/17	2019/06/17	Contig	MPI FOR DEVELOPMENTAL BIOLOGY	SAMEA104356369
34649	Arabidopsis thaliana	3702	PRJEB23122	549192	Plants	Land Plants	1.15	37.4	GCA_900233845.1		OCWM01	133			2019/06/17	2019/06/17	Contig	MPI FOR DEVELOPMENTAL BIOLOGY	SAMEA104356366
34652	Arabidopsis thaliana	3702	PRJEB23122	549192	Plants	Land Plants	1.31957	37.3	GCA_900233895.1		OCWX01	158			2019/06/17	2019/06/17	Contig	MPI FOR DEVELOPMENTAL BIOLOGY	SAMEA104356359
34665	Arabidopsis thaliana	3702	PRJEB23122	549192	Plants	Land Plants	1.14084	37.6	GCA_900233715.1		OCXA01	138			2019/06/17	2019/06/17	Contig	MPI FOR DEVELOPMENTAL BIOLOGY	SAMEA104356374
34667	Arabidopsis thaliana	3702	PRJEB23122	549192	Plants	Land Plants	1.26394	37.5	GCA_900233945.1		OCWD01	151			2019/06/17	2019/06/17	Contig	MPI FOR DEVELOPMENTAL BIOLOGY	SAMEA104356357
34682	Arabidopsis thaliana	3702	PRJEB23122	549192	Plants	Land Plants	2.03504	38.9	GCA_900233925.1		OCWI01	248			2019/06/17	2019/06/17	Contig	MPI FOR DEVELOPMENTAL BIOLOGY	SAMEA104356354
34683	Arabidopsis thaliana	3702	PRJEB23122	549192	Plants	Land Plants	0.844674	40.9	GCA_900233975.1		OCXP01	119			2019/06/17	2019/06/17	Contig	MPI FOR DEVELOPMENTAL BIOLOGY	SAMEA104356388
34698	Arabidopsis thaliana	3702	PRJEB23122	549192	Plants	Land Plants	0.838703	37.3	GCA_900233955.1		OCWU01	109			2019/06/17	2019/06/17	Contig	MPI FOR DEVELOPMENTAL BIOLOGY	SAMEA104356352
34699	Arabidopsis thaliana	3702	PRJEB23122	549192	Plants	Land Plants	0.32515	38.6	GCA_900234225.1		OCYI01	52			2019/06/17	2019/06/17	Contig	MPI FOR DEVELOPMENTAL BIOLOGY	SAMEA104356410
34711	Arabidopsis thaliana	3702	PRJEB23122	549192	Plants	Land Plants	0.847842	37.4	GCA_900234255.1		OCXZ01	146			2019/06/17	2019/06/17	Contig	MPI FOR DEVELOPMENTAL BIOLOGY	SAMEA104356404
